INFO  - 2016-06-14 17:08:56.461; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2016-06-14 17:08:56.494; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /root/mysite/solr-4.10.4/example/solr/collection1/, dataDir=/root/mysite/solr-4.10.4/example/solr/collection1/data/
INFO  - 2016-06-14 17:08:56.549; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2016-06-14 17:08:56.566; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2016-06-14 17:08:56.567; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2016-06-14 17:08:56.622; org.apache.solr.core.CachingDirectoryFactory; return new directory for /root/mysite/solr-4.10.4/example/solr/collection1/data
INFO  - 2016-06-14 17:08:56.676; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/root/mysite/solr-4.10.4/example/solr/collection1/data/index/
WARN  - 2016-06-14 17:08:56.679; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/root/mysite/solr-4.10.4/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2016-06-14 17:08:56.728; org.apache.solr.core.CachingDirectoryFactory; return new directory for /root/mysite/solr-4.10.4/example/solr/collection1/data/index
INFO  - 2016-06-14 17:08:56.896; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/root/mysite/solr-4.10.4/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/root/mysite/solr-4.10.4/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2016-06-14 17:08:56.898; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2016-06-14 17:08:56.916; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2016-06-14 17:08:56.916; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2016-06-14 17:08:56.919; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2016-06-14 17:08:56.937; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2016-06-14 17:08:56.938; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2016-06-14 17:08:57.314; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2016-06-14 17:08:57.340; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-06-14 17:08:57.343; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-06-14 17:08:57.343; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-06-14 17:08:57.344; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-06-14 17:08:57.368; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2016-06-14 17:08:57.374; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2016-06-14 17:08:57.382; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2016-06-14 17:08:57.383; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2016-06-14 17:08:57.383; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2016-06-14 17:08:57.388; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-06-14 17:08:57.389; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
